"State","Agency_type","Agency_name","Ethnicity","Disability","Gender","Gender_Identity"
"Alabama","Cities","Florence",0,0,0,0
"Alabama","Cities","Hoover",0,0,0,0
"Alabama","Cities","Prattville",0,0,0,0
"Alabama","Cities","Tuscaloosa",0,0,0,0
"Alaska","Cities","Anchorage",0,0,0,0
"Arizona","Cities","Apache Junction",0,0,0,0
"Arizona","Cities","Avondale",1,0,0,0
"Arizona","Cities","Eagar",1,0,0,0
"Arizona","Cities","El Mirage",0,0,0,0
"Arizona","Cities","Gilbert",0,0,0,0
"Arizona","Cities","Glendale",1,0,0,0
"Arizona","Cities","Goodyear",0,0,0,0
"Arizona","Cities","Maricopa",0,0,0,0
"Arizona","Cities","Mesa",0,0,0,0
"Arizona","Cities","Phoenix",14,1,0,0
"Arizona","Cities","Prescott",1,0,0,0
"Arizona","Cities","Scottsdale",1,0,0,0
"Arizona","Cities","Tempe",0,0,0,0
"Arizona","Cities","Tucson",1,0,0,0
"Arizona","Cities","Yuma",3,0,0,0
"Arizona","Universities and Colleges","Northern Arizona University",0,0,0,0
"Arizona","Universities and Colleges","University of Arizona",0,0,0,0
"Arizona","Metropolitan Counties","Cochise",0,0,0,0
"Arizona","Metropolitan Counties","Maricopa",0,0,0,0
"Arizona","Metropolitan Counties","Pima",0,0,0,0
"Arizona","Metropolitan Counties","Yuma",1,0,0,0
"Arkansas","Cities","Bentonville",0,0,0,0
"Arkansas","Cities","Berryville",0,0,0,0
"Arkansas","Cities","Cabot",0,0,0,0
"Arkansas","Cities","England",0,0,0,0
"Arkansas","Cities","Fairfield Bay",0,0,0,0
"Arkansas","Cities","Fort Smith",0,0,0,0
"Arkansas","Cities","Gurdon",0,0,0,0
"Arkansas","Cities","Marion",0,0,0,0
"Arkansas","Cities","North Little Rock",0,0,0,0
"Arkansas","Cities","Pine Bluff",0,0,0,0
"Arkansas","Cities","Rogers",0,0,0,0
"Arkansas","Cities","Sherwood",0,0,0,0
"Arkansas","Universities and Colleges","""University of Arkansas",1,0,0,0
"Arkansas","Metropolitan Counties","Crawford",0,0,0,0
"Arkansas","Metropolitan Counties","Faulkner",1,0,0,0
"Arkansas","Metropolitan Counties","Lonoke",0,0,0,0
"Arkansas","Metropolitan Counties","Pulaski",1,0,0,0
"Arkansas","Metropolitan Counties","Sebastian",0,0,0,0
"Arkansas","Nonmetropolitan Counties","Greene",0,0,0,0
"Arkansas","Nonmetropolitan Counties","Pope",0,0,0,0
"California","Cities","Adelanto",1,0,0,0
"California","Cities","Agoura Hills",0,0,0,0
"California","Cities","Alameda",0,0,0,0
"California","Cities","Alhambra",0,0,0,0
"California","Cities","Antioch",0,0,0,0
"California","Cities","Arcadia",0,0,0,0
"California","Cities","Atascadero",1,0,0,0
"California","Cities","Atwater",1,0,0,0
"California","Cities","Auburn",0,0,0,0
"California","Cities","Azusa",0,0,0,0
"California","Cities","Bakersfield",0,0,0,0
"California","Cities","Baldwin Park",0,0,0,0
"California","Cities","Banning",1,0,0,0
"California","Cities","Berkeley",1,0,0,0
"California","Cities","Beverly Hills",0,0,0,0
"California","Cities","Brentwood3",0,0,0,0
"California","Cities","Buena Park3",1,0,0,0
"California","Cities","Burbank",1,0,0,0
"California","Cities","Calabasas",0,0,0,0
"California","Cities","Camarillo",0,0,0,0
"California","Cities","Campbell",0,0,0,0
"California","Cities","Carlsbad",1,0,0,0
"California","Cities","Carson",0,0,0,0
"California","Cities","Cerritos",0,0,0,0
"California","Cities","Chico",0,0,0,0
"California","Cities","Chino",3,0,0,0
"California","Cities","Chula Vista",0,0,0,0
"California","Cities","Citrus Heights",0,0,0,0
"California","Cities","Claremont",0,0,0,0
"California","Cities","Clearlake",0,0,0,0
"California","Cities","Clovis",1,0,0,0
"California","Cities","Colton",0,0,0,0
"California","Cities","Compton",0,0,0,0
"California","Cities","Concord",0,0,0,0
"California","Cities","Corcoran",0,0,0,0
"California","Cities","Corona",1,0,0,0
"California","Cities","Coronado",0,0,0,0
"California","Cities","Costa Mesa",0,0,0,0
"California","Cities","Covina",0,0,0,0
"California","Cities","Cupertino",0,0,0,1
"California","Cities","Cypress",1,0,0,0
"California","Cities","Daly City",0,0,0,0
"California","Cities","Dana Point",0,0,0,0
"California","Cities","Davis",1,0,0,0
"California","Cities","Duarte",0,0,0,0
"California","Cities","El Cajon",1,0,0,0
"California","Cities","El Cerrito",4,0,0,0
"California","Cities","Elk Grove",0,0,0,0
"California","Cities","El Monte",0,0,0,0
"California","Cities","Emeryville",0,0,0,0
"California","Cities","Encinitas",1,0,0,0
"California","Cities","Escondido",2,0,0,0
"California","Cities","Eureka",0,0,0,0
"California","Cities","Fairfield",1,0,0,0
"California","Cities","Fontana",0,0,0,0
"California","Cities","Foster City",0,0,0,0
"California","Cities","Fresno",2,0,0,1
"California","Cities","Fullerton",0,0,0,0
"California","Cities","Galt",0,0,0,0
"California","Cities","Garden Grove",3,0,0,0
"California","Cities","Gilroy",0,0,0,0
"California","Cities","Glendale",0,0,0,0
"California","Cities","Glendora",0,0,0,0
"California","Cities","Gridley",1,0,0,0
"California","Cities","Hanford",0,0,0,0
"California","Cities","Hawaiian Gardens",0,0,0,0
"California","Cities","Hayward",0,0,0,0
"California","Cities","Healdsburg",0,0,0,0
"California","Cities","Hercules",1,0,0,0
"California","Cities","Holtville",0,0,0,0
"California","Cities","Huntington Beach",0,0,0,1
"California","Cities","Imperial Beach",1,0,0,0
"California","Cities","Irvine",0,0,0,0
"California","Cities","Jurupa Valley",0,0,0,0
"California","Cities","Laguna Beach",0,0,0,0
"California","Cities","La Habra",0,0,0,0
"California","Cities","Lake Elsinore",0,0,0,0
"California","Cities","Lake Forest",0,0,0,0
"California","Cities","Lakewood",0,0,0,0
"California","Cities","La Mirada",0,0,0,0
"California","Cities","Lancaster",1,0,0,0
"California","Cities","La Quinta",0,0,0,0
"California","Cities","Lemon Grove",0,0,0,0
"California","Cities","Lemoore",0,0,0,0
"California","Cities","Livermore",1,0,0,0
"California","Cities","Lodi",2,0,0,0
"California","Cities","Lomita",1,0,0,0
"California","Cities","Long Beach",0,0,0,0
"California","Cities","Los Alamitos",0,0,0,0
"California","Cities","Los Angeles",9,0,0,2
"California","Cities","Los Gatos",0,0,0,0
"California","Cities","Lynwood",0,0,0,0
"California","Cities","Malibu",0,0,0,0
"California","Cities","Manhattan Beach",0,0,0,0
"California","Cities","Manteca",0,0,0,0
"California","Cities","Milpitas",0,0,0,0
"California","Cities","Modesto",1,0,0,0
"California","Cities","Montclair",0,0,0,0
"California","Cities","Monterey",0,0,0,0
"California","Cities","Moreno Valley",0,0,0,0
"California","Cities","Morgan Hill",0,0,0,0
"California","Cities","Murrieta3",0,0,0,0
"California","Cities","National City",0,0,0,0
"California","Cities","Newark",1,0,0,0
"California","Cities","Newport Beach",0,0,0,0
"California","Cities","Norwalk",0,0,0,0
"California","Cities","Oakland",2,0,0,0
"California","Cities","Oceanside",1,0,0,0
"California","Cities","Ontario",0,0,0,0
"California","Cities","Orange",0,0,0,0
"California","Cities","Oroville",0,0,0,0
"California","Cities","Oxnard",0,0,0,0
"California","Cities","Pacifica",0,0,0,0
"California","Cities","Pacific Grove",0,0,0,0
"California","Cities","Palmdale",0,0,0,0
"California","Cities","Palm Springs",0,0,0,0
"California","Cities","Palo Alto",1,0,0,0
"California","Cities","Paramount",0,0,0,0
"California","Cities","Pasadena",1,0,0,0
"California","Cities","Pico Rivera",1,0,0,0
